; ===== 트레잇 오써링 CSV (기존 182 스켈레톤 + 새 스키마) =====
; 인코딩 규약: design/traits_authoring_sample.csv 상단 참조
; ★ effects/bridges 값 전부 잠정 1차 패스 — 세부 다듬기/통합 밸런싱에서 조정
; effects/bridges/subMain/subSub/acquire/rarity/contraPair = 밸런싱/콘텐츠 패스에서 채움
; 신규 로스터 이름(trait_roster.md [신])은 아직 미포함 — id 부여 후 추가

[combat]
id,name,category,tier,rarity,subMain,subSub,acquire,apCost,element,dmgMult,target,effects,bridges,contraPair,description
CT_DISSOLVE_FLUID,용해액,전투,1,,제어형,열,,1,열,0.8,single,,special|enemyDefDown|0.2,,열 속성 — 녹이는 방향. 적 방어를 감소시킨다.
CT_DISASSEMBLE_ANALYZE,해체분석,전투,2,,치명형,위,,1,위,0.6,single,,special|markWeak|1,,위 속성. 적 약점을 감지하여 다음 공격에 보정을 부여한다.
CT_CURRENT,해류,전투,2,,지원형,열,,2,열,0.4,all_allies,,special|allyHeal|0.05,,열 속성 — 수온 조절로 환경 변화. 아군 회복 보정.
CT_PARALYSIS_TENTACLE,마비촉수,전투,2,,제어형,광,,2,광,0.7,single,,special|마비|0.3,,광 속성. 적을 마비시킬 확률이 있다.
CT_PINCER_STRIKE,협격,전투,2,,공격형,열,,2,열,1.4,single,,,,열+동 복합 공격. 집게로 잡아 열을 주입한다.
CT_LIGHT_ARMOR,경갑,전투,2,,방어형,None,,0,None,0,self,,stat|defense.물리|add|0.15,,패시브. 물리 내성이 소폭 상승한다.
CT_PURIFY,정화,전투,1,,지원형,식,,1,식,0,single_ally,,special|allyCleanse|1,,식 속성. 아군 하나의 상태이상을 해제한다.
CT_FOCUSED_LIGHT,집속광,전투,1,,공격형,광,,2,광,1.6,single,,,,광 속성. 단일 대상 고데미지.
CT_DISTILL,증류,전투,2,,제어형,열,,1,열,0.5,single,,special|enemyBuffStrip|1,,열 속성. 적의 버프 하나를 제거한다.
CT_PARALYSIS_POISON,마비독,전투,2,,제어형,식,,2,식,0.6,single,,special|enemyApDown|1,,식 속성. 적의 AP를 감소시키는 독.
CT_SCALES,인분,전투,2,,방어형,식,,1,식,0.4,area,,stat|defense.물리|add|0.15 ; stat|defense.열|add|-0.1,,식 속성. 독 인분을 뿌려 범위 미량 지속 데미지.
CT_CRYSTAL_BARRIER,결정방벽,전투,2,,지원형,동,,2,동,0,self,,special|physReflect|0.2,,동 속성. 물리 공격을 반사할 확률을 얻는다.
CT_SELF_REPAIR,자기수복,전투,2,,지원형,None,,0,None,0,self,,stat|HP|mult|1.05|when:라운드,,패시브. 매 라운드 HP가 소량 회복된다.
CT_IRON_WALL,철벽,전투,2,,방어형,None,,0,None,0,self,,stat|피해감소|add|scaleBy:DEF,,패시브. 피격 시 내구에 비례하여 데미지를 감소시킨다.
CT_GUARDIAN,수호,전투,2,,지원형,None,,1,None,0,single_ally,,special|coverAlly|1 ; special|aggroUp|1,,인접 아군이 받을 피격을 대신 받는다.
CT_TAUNT,도발,전투,2,,제어형,None,,0,None,,self,,special|taunt|1,,적의를 한몸에 모은다. 자신이 노려질 확률이 크게 오른다.
CT_AMBUSH,암습,전투,1,,공격형,동,,2,동,2,single,,,,동 속성. 선제 공격 시 데미지가 2배가 된다.
CT_EROSION_THREAD,침식사,전투,2,,공격형,식,,2,식,0.7,single,,,,식 속성. 적의 장비 내구도를 감소시키는 실.
CT_BINDING,속박,전투,2,,제어형,식,,1,식,0,single,,special|enemySpeedDown|0.2,,적을 속박하여 속도를 감소시킨다.
CT_DISMANTLE,해체,전투,2,,치명형,광,,2,광,1.3,single,,special|defIgnoreChance|0.3,,광 속성. 적의 방어 구조를 분석해 방어를 무시할 확률을 얻는다.
CT_POISON_MIST,독무,전투,2,,공격형,식,,2,식,0.5,area,,,,식 속성 범위 독무. 매 라운드 지속 데미지.
CT_EVASION_DANCE,회피무,전투,2,,회피형,None,,0,None,0,self,,stat|회피|add|0.15,,패시브. 회피율이 상승한다.
CT_PRECISION_INCISION,정밀절개,전투,2,,공격형,위,,3,위,2,single,,,,위 속성. 방어를 무시하는 고데미지 단일 공격.
CT_WEAK_POINT_DETECT,약점감지,전투,2,,치명형,None,,0,None,0,self,,special|revealWeak|1 ; target|weakpoint,,패시브. 전투 시작 시 적의 약점을 공개한다.
CT_KARMIC_FLAME,업화,전투,2,,공격형,열,,2,열,1.2,single,,,,열 속성. 연속 공격 시 데미지가 누적으로 증가한다.
CT_TRACKER,추적자,전투,2,,지원형,None,,0,None,0,self,,special|preventFlee|1,,패시브. 적이 도망칠 수 없다.
CT_MIST_FIELD,안개장,전투,2,,지원형,동,,1,동,0,all_allies,,special|allyEvasion|0.1,,동 속성. 아군 전체의 회피율에 보정을 준다.
CT_REFLECT,반사,전투,1,,지원형,광,,0,광,0,self,,special|reflect|0.2,,패시브. 피격 데미지의 일부를 반사한다.
CT_SPORE_SPREAD,포자확산,전투,1,,공격형,식,,1,식,0.3,all_enemies,,,,식 속성. 적 전체에 미량의 지속 데미지를 부여한다.
CT_SYMBIOSIS,공생,전투,1,,지원형,None,,0,None,0,single_ally,,special|allyHeal|0.05,,패시브. 인접 아군의 HP를 소량 회복한다.
CT_FRAGRANCE,향기,전투,2,,제어형,열,,1,열,0,all_enemies,,special|enemyApDown|0.1,,열 속성. 적 전체의 AP를 소량 감소시킨다.
CT_SOOTHE,진정,전투,2,,지원형,None,,0,None,0,all_allies,,special|allyStatusResist|0.2,,패시브. 아군 전체에 상태이상 내성 보정을 준다.
CT_PETRIFY_GAZE,석화시선,전투,2,,제어형,위,,2,위,0.5,single,,special|행동정지|0.2,,위 속성. 적을 행동 정지시킬 확률이 있다.
CT_CRYSTALLIZE,결정화,전투,1,,방어형,동,,0,동,0,self,,stat|DEF|mult|1.05|when:피격,,패시브. 피격 시 방어가 소폭 누적 상승한다.
CT_PETRIFY,석화,전투,1,,제어형,위,,1,위,0.5,single,,special|enemySpeedDown|0.3,,위 속성. 적의 속도를 감소시킨다.
CT_FOSSIL_ARMOR,화석갑,전투,1,,방어형,None,,0,None,0,self,,stat|defense.물리|add|0.3 ; stat|속도|mult|0.5,,패시브. 물리 내성이 높지만 속도가 최저.
CT_CRYSTAL_REFLECT,결정반사,전투,2,,방어형,광,,0,광,0,self,,stat|defense.광|add|0.3 ; special|lightReflect|0.2,,패시브. 광 내성이 대폭 상승하고 광 공격을 반사할 확률이 있다.
CT_PRESERVE,방부,전투,2,,제어형,식,,1,식,0.6,single,,special|healBlock|1,,식 속성. 적의 회복 효과를 무효화한다.
CT_SEAL_BIND,봉인포박,전투,2,,제어형,식,,2,식,0,single,,special|sealTrait|1,,적의 트레잇 하나를 봉인한다.
CT_BARRIER,결계,전투,2,,지원형,위,,3,위,0,all_allies,,special|allyNullify|1,,위 속성. 아군 전체의 다음 피격 1회를 무효화한다.
CT_CORAL_EROSION,산호침식,전투,2,,공격형,식,,2,식,0.6,area,,,,식 속성. 지속 데미지를 부여하며 범위가 확산된다.
CT_CAUSAL_THREAD,인과사,전투,2,,제어형,광,,2,광,0.8,single,,special|linkDamage|1,,광 속성. 적 2체를 연결하여 한쪽이 받는 데미지를 다른 쪽도 받게 한다.
CT_SEAL_ART,봉인술,전투,2,,제어형,광,,2,광,0.5,single,,special|sealTrait|1,,광 속성. 적의 트레잇을 봉인한다.
CT_TERRITORY_CONTROL,영역장악,전투,2,,공격형,식,,2,식,1.2,single,,special|zoneControl|1,,범위 지배 보정
CT_IMMOVABLE,부동,전투,2,,방어형,동,,2,동,1.2,single,,override|always|선제:0 ; stat|피해감소|add|0.4,,선제 포기 대신 받는 데미지 대폭 감소
CT_EARTHQUAKE,지진,전투,2,,공격형,동,,2,동,1.2,single,,,,동 속성 범위
CT_MOONLIGHT_DISSOLVE,월광용해,전투,2,,공격형,광,,2,광,1.2,single,,,,광+식 복합· 적 방어를 서서히 녹임
CT_FORM_INSTABILITY,형태 불안정,전투,2,,공격형,광,,2,광,1.2,single,,stat|전체|mult|변동,,매 라운드 스탯 소폭 변동
CT_DEEP_PRESSURE,심압,전투,2,,제어형,위,,2,위,1.2,single,,special|enemyApDown|1,,위 속성· 적 전체 AP 감소
CT_DRAGON_SCALE,용린,전투,2,,방어형,위,,2,위,1.2,single,,stat|defense.물리|add|0.3,,물리 내성 대폭 상승
CT_DECODE,해독,전투,2,,공격형,광,,2,광,1.2,single,탐사|파편로어|mult|1.3,,,파편 로어 해독 보정
CT_PRECISION_ALCHEMY,정밀연성,전투,2,,치명형,열,,2,열,1.2,single,,stat|크리티컬|add|0.2,,열 속성· 크리티컬 확률 대폭 상승
CT_INSIGHT,간파,전투,2,,회피형,열,,2,열,1.2,single,,special|predictEnemy|1 ; stat|회피|add|0.1,,적 행동 예측 보정
CT_DUAL_BODY,이중체,전투,2,,공격형,위,,2,위,1.2,single,,special|extraAction|1,,이중 존재 보정
CT_FATE_EDIT,운명편집,전투,2,,공격형,광,,2,광,1.2,single,,special|fateReroll|1,,특수 보정 효과
CT_ECHO,잔향,전투,2,,지원형,동,,2,동,1.2,single,,special|allyDmgBuff|0.2,,동 속성· 아군 전체 버프 — 다음 행동 데미지 증폭
CT_REQUIEM,진혼가,전투,2,,지원형,동,,2,동,1.2,single,,special|allySupport|1,,특수 지원 효과
CT_MANA_AMPLIFY,마력 증폭,전투,2,,지원형,위,,2,위,1.2,single,,special|allyPowerBuff|0.15,,아군 마력 보정
CT_EARTH_BLESSING,대지의 축복,전투,2,,지원형,동,,2,동,1.2,single,,special|allyDefBuff|0.15,,동 속성· 아군 전체 내구 보정
CT_NATURAL_HEAL,자연치유,전투,2,,지원형,동,,2,동,1.2,single,,stat|HP|mult|1.05|when:라운드,,자연 회복 효과

CT_CAMOUFLAGE,위장,전투,2,,회피형,None,,0,None,0,self,,stat|회피|add|0.1,,주변에 몸을 숨긴다. 선제당할 확률이 준다.
CT_GALE,질풍,전투,2,,공격형,동,,1,동,1.1,single,,,,동 속성 쾌속 일격.
CT_ABSORB,흡수,전투,2,,공격형,식,,2,식,0.8,single,,special|drainHp|0.2,,식 속성. 준 데미지 일부를 흡수해 회복.
CT_SLEEP_TOXIN,수면독,전투,2,,제어형,광,,2,광,0.5,single,,special|enemySpdDown|0.2,,광(독) 계열. 서서히 잠들게 하는 독.
CT_ROAR,포효,전투,2,,제어형,None,,1,None,0,all_enemies,,special|enemySpdDown|0.1,,포효로 적 전체를 움츠러들게 한다.
CT_ADAMANT,불괴,전투,4,,합성계,None,합성,0,None,0,self,조교|global.공포|gainMult|0.8,special|physImmuneRound|1 ; special|selfDefZeroNext|1,,(효과 미저작 — 상향 밸런스 패스) 체인 정본=synthesis_chains.csv
CT_ADVANCE,진격,전투,3,,합성계,None,합성,2,동,1.2,single,,special|selfSpdUp|0.1,,(효과 미저작 — 상향 밸런스 패스) 체인 정본=synthesis_chains.csv
CT_ANATOMY,해부학,전투,3,,합성계,None,합성,0,None,0,self,조교|역가전반|gainMult|1.1,special|critUp|0.15,,(효과 미저작 — 상향 밸런스 패스) 체인 정본=synthesis_chains.csv
CT_ANATOMY_WEAK,해부학적 약점,전투,4,,합성계,None,합성,2,위,1.5,single,조교|역가전반|gainMult|1.15,special|hitLowestSlot|1,,(효과 미저작 — 상향 밸런스 패스) 체인 정본=synthesis_chains.csv
CT_AREA_CORROSION,영역부식,전투,3,,합성계,None,합성,2,식,0.9,area,,special|areaGrow|0.1,,(효과 미저작 — 상향 밸런스 패스) 체인 정본=synthesis_chains.csv
CT_BIND_NET,구속망,전투,3,,합성계,None,합성,2,광,0.5,single,,special|enemyApDown|1,,(효과 미저작 — 상향 밸런스 패스) 체인 정본=synthesis_chains.csv
CT_CORROSION_CLOUD,부식운,전투,3,,합성계,None,합성,2,식,0.8,area,,special|dot독|0.15,,(효과 미저작 — 상향 밸런스 패스) 체인 정본=synthesis_chains.csv
CT_CRITICAL_BURST,임계폭발,전투,3,,합성계,None,합성,3,위,1.6,single,,,,(효과 미저작 — 상향 밸런스 패스) 체인 정본=synthesis_chains.csv
CT_DIFFUSE_REFLECT,난반사,전투,3,,합성계,None,합성,2,광,1.0,area,,special|enemyAccDown|0.15,,(효과 미저작 — 상향 밸런스 패스) 체인 정본=synthesis_chains.csv
CT_FASCINATION,매혹술,전투,4,,합성계,None,합성,0,None,0,self,관계|교섭|gainMult|1.4,special|enemyAccDown|0.1,,(효과 미저작 — 상향 밸런스 패스) 체인 정본=synthesis_chains.csv
CT_FOCUS_ARRAY,집광진,전투,4,,합성계,None,합성,0,광,0,self,탐사|발견|gainMult|1.1,special|accUp|0.2 ; special|critUp|0.15,,(효과 미저작 — 상향 밸런스 패스) 체인 정본=synthesis_chains.csv
CT_GRAY_WOLF,회색 늑대,전투,4,,합성계,None,합성,3,None,2.0,single,생활|가공|gainMult|1.1,special|allInStrike|1 ; special|exhaustNextRound|1,,(효과 미저작 — 상향 밸런스 패스) 체인 정본=synthesis_chains.csv
CT_GREEN_LION,녹사자,전투,4,,합성계,None,합성,3,식,1.6,single,탐사|보상|gainMult|1.1,special|defShred|0.2,,(효과 미저작 — 상향 밸런스 패스) 체인 정본=synthesis_chains.csv
CT_HEAT_RUNAWAY,열폭주,전투,3,,합성계,None,합성,2,열,1.5,single,,stat|defense.열|add|-0.1,,(효과 미저작 — 상향 밸런스 패스) 체인 정본=synthesis_chains.csv
CT_IMMOVABLE_FORT,부동성채,전투,3,,합성계,None,합성,0,None,0,self,,stat|DEF|mult|1.3 ; weight|방어|0.3,,(효과 미저작 — 상향 밸런스 패스) 체인 정본=synthesis_chains.csv
CT_LETHAL_POISON,치명독,전투,4,,합성계,None,합성,3,식,1.2,all_enemies,조교|약효|gainMult|1.15,special|dot독|0.25 ; special|enemyApDown|1,,(효과 미저작 — 상향 밸런스 패스) 체인 정본=synthesis_chains.csv
CT_MAGNETIC_FIELD,자장,전투,3,,합성계,None,합성,0,자,0,self,,special|aggroUp|0.3,,(효과 미저작 — 상향 밸런스 패스) 체인 정본=synthesis_chains.csv
CT_MAGNET_CORE,자심,전투,4,,합성계,None,합성,2,자,0.8,single,조교|global.연모|gainMult|1.1,special|aggroUp|0.5 ; special|pullTarget|1,,(효과 미저작 — 상향 밸런스 패스) 체인 정본=synthesis_chains.csv
CT_NURSING,간호,전투,3,,합성계,None,합성,0,None,0,self,생활|회복|gainMult|1.15,special|allyHeal|0.1,,(효과 미저작 — 상향 밸런스 패스) 체인 정본=synthesis_chains.csv
CT_PELICAN,펠리컨,전투,4,,합성계,None,합성,2,None,0,single_ally,관계|호감도|gainMult|1.15,special|allyHeal|0.2 ; special|selfHpCost|0.1,,(효과 미저작 — 상향 밸런스 패스) 체인 정본=synthesis_chains.csv
CT_PIERCE_WAVE,관통파,전투,3,,합성계,None,합성,2,위,1.2,single,,special|defPierce|0.3,,(효과 미저작 — 상향 밸런스 패스) 체인 정본=synthesis_chains.csv
CT_PURE_LIGHT,정광,전투,3,,합성계,None,합성,0,광,0,self,,special|accUp|0.15,,(효과 미저작 — 상향 밸런스 패스) 체인 정본=synthesis_chains.csv
CT_RAM_BREAKER,붕성추,전투,4,,합성계,None,합성,3,위,1.7,single,생활|생산|gainMult|1.1,special|defPierce|0.5,,(효과 미저작 — 상향 밸런스 패스) 체인 정본=synthesis_chains.csv
CT_REPULSION,척력,전투,3,,합성계,None,합성,2,자,0.9,single,,special|knockback|0.5,,(효과 미저작 — 상향 밸런스 패스) 체인 정본=synthesis_chains.csv
CT_REPULSION_FIELD,척력장,전투,4,,합성계,None,합성,3,자,1.2,all_enemies,조교|global.공포|gainMult|0.85,special|knockback|1 ; special|enemyAccDown|0.1,,(효과 미저작 — 상향 밸런스 패스) 체인 정본=synthesis_chains.csv
CT_RESONANCE,공명,전투,3,,합성계,None,합성,1,동,0.9,single,,special|stackDmg|0.1,,(효과 미저작 — 상향 밸런스 패스) 체인 정본=synthesis_chains.csv
CT_RESONANCE_WAVE,공진파,전투,4,,합성계,None,합성,2,동,1.1,single,조교|감도.전부위|gainMult|1.1,special|stackDmg|0.15,,(효과 미저작 — 상향 밸런스 패스) 체인 정본=synthesis_chains.csv
CT_SALAMANDER,살라만더,전투,4,,합성계,None,합성,2,열,1.2,single,조교|global.음란|gainMult|1.1,special|dot열|0.15,,(효과 미저작 — 상향 밸런스 패스) 체인 정본=synthesis_chains.csv
CT_SHADOWLESS,무영,전투,3,,합성계,None,합성,0,None,0,self,,stat|회피|add|0.12,,(효과 미저작 — 상향 밸런스 패스) 체인 정본=synthesis_chains.csv
CT_SKYFALL,천붕,전투,4,,합성계,None,합성,3,동,1.5,all_enemies,탐사|발견|gainMult|1.1,special|knockback|1,,(효과 미저작 — 상향 밸런스 패스) 체인 정본=synthesis_chains.csv
CT_STAG,수사슴,전투,4,,합성계,None,합성,0,None,0,self,탐사|발견|gainMult|1.15,stat|회피|add|0.15 ; weight|회피|0.2,,(효과 미저작 — 상향 밸런스 패스) 체인 정본=synthesis_chains.csv
CT_STONE_PRESS,석압,전투,3,,합성계,None,합성,2,위,1.1,single,,special|enemySpdDown|0.15,,(효과 미저작 — 상향 밸런스 패스) 체인 정본=synthesis_chains.csv
CT_TEMPER_FLAME,달굼불,전투,3,,합성계,None,합성,1,열,0.8,single,,special|dot열|0.1,,(효과 미저작 — 상향 밸런스 패스) 체인 정본=synthesis_chains.csv
CT_TON_WEIGHT,천근추,전투,4,,합성계,None,합성,2,위,1.0,single,조교|global.복종|gainMult|1.1,special|enemySpdDown|0.25,,(효과 미저작 — 상향 밸런스 패스) 체인 정본=synthesis_chains.csv
CT_TOTAL_BIND,완전속박,전투,4,,합성계,None,합성,3,광,0,single,조교|역가전반|gainMult|1.1,special|stun|1,,(효과 미저작 — 상향 밸런스 패스) 체인 정본=synthesis_chains.csv
CT_VOLCANO,화산,전투,4,,합성계,None,합성,3,열,1.8,area,조교|global.공포|gainMult|1.1,special|selfDefDown|0.1,,(효과 미저작 — 상향 밸런스 패스) 체인 정본=synthesis_chains.csv
CT_WHITE_NIGHT,백야,전투,4,,합성계,None,합성,3,광,1.4,all_enemies,관계|교섭|gainMult|1.1,special|enemyAccDown|0.2,,(효과 미저작 — 상향 밸런스 패스) 체인 정본=synthesis_chains.csv
CT_SPRAY_MANIA,난사광,전투,2,,공격형,None,후보풀,1,None,0.7,single,,special|autoExtraAttack|0.7,,매 라운드 AP 남으면 자동 추가공격 — B-1
CT_TRIGGER_HAPPY,트리거 해피,전투,4,,다리,None,합성,1,None,0.8,single,조교|감도.전부위|gainMult|1.1,special|onHitSenGain|3 ; special|dmgPerLewd|0.1,,전투×조교 양방향 루프 — B-1 다리 열매
CT_JUDGE,심판관,전투,1,,선천계,None,초기,2,광,1.2,single,,special|enemySpdDown|0.1,,티어다운 선천 편입 — 원 효과=cross_staging 참조
CT_SWINDLER,사기꾼,전투,1,,선천계,None,초기,0,None,0,self,탐사|보상|gainMult|1.15,,,티어다운 선천 편입 — 원 효과=cross_staging 참조
CT_TOXIN_SCATTER,독무 산포,전투,1,,선천계,None,초기,1,광,0.5,area,,special|dot독|0.1,,티어다운 선천 편입 — 원 효과=cross_staging 참조
CT_TAIL_AMBUSH,꼬리 기습,전투,1,,선천계,None,초기,1,광,0.9,single,,special|firstStrike|0.15,,티어다운 선천 편입 — 원 효과=cross_staging 참조
CT_AREA_SUPPRESS,광역제압,전투,2,,합성계,None,합성,2,광,0.6,all_enemies,,special|enemySpdDown|0.15,,B-2 실현 — T1+T1=T2
CT_RAID_STRIKE,기습약탈,전투,2,,합성계,None,합성,1,None,1.1,single,탐사|보상|gainMult|1.1,special|firstStrike|0.2,,B-2 실현 — T1+T1=T2
CT_SKY_EYE,창공시야,전투,1,,우화,None,초기,0,None,0,self,,stat|회피|add|0.05 ; weight|회피|0.1,,독수리 — 높은 곳에서 먼저 본다. 회피 결.
CT_UPDRAFT,상승기류,전투,2,,우화,None,초기,1,동,1.0,single,,stat|회피|add|0.05,,독수리 — 바람을 타고 오른다. 동 결.
CT_WATER_SONG,수가,전투,1,,우화,None,초기,1,동,0,all_enemies,,special|enemyAccDown|0.05,,세이렌 — 물결의 노래.
CT_SCREAM,비명,전투,2,,우화,None,초기,2,동,0.4,all_enemies,,special|enemySpdDown|0.1,,만드라고라 — 뽑히는 순간의 절규. 제어 결.
CT_RED_LION,적사자,전투,3,,합성계,None,합성,2,열,1.3,single,,weight|공격|0.15,,재결합 — 정련된 붉은 힘. (효과 미저작)
CT_TWIN_WATCH,쌍두감시,전투,3,,합성계,None,합성,0,None,0,self,,special|ambushImmune|1 ; stat|회피|add|0.05,,재결합 — 두 눈이 놓치지 않는다. (효과 미저작)
CT_GLIDE,활공,전투,3,,합성계,None,합성,0,None,0,self,,stat|회피|add|0.12 ; weight|회피|0.15,,재결합 — 바람 위의 회피. (효과 미저작)
CT_VENOM_EYE,독안,전투,3,,합성계,None,합성,0,None,0,self,,special|critUp|0.2,,재결합 — 독을 머금은 사안. ★치명. (효과 미저작)
CT_SIREN_SONG,세이렌송,전투,3,,합성계,None,합성,2,동,0.6,all_enemies,조교|global.연모|gainMult|1.1,special|enemyAccDown|0.15,,재결합 — 홀리는 물의 노래. 제어. (효과 미저작)
CT_SHRIEK,절규,전투,3,,합성계,None,합성,2,동,0.5,all_enemies,,special|enemySpdDown|0.2,,재결합 — 움츠러들게 하는 비명. 제어. (효과 미저작)
CT_HARD_CRYSTAL,경정,전투,3,,합성계,None,합성,0,None,0,self,,stat|defense.동|add|0.12 ; stat|DEF|mult|1.1,,경정
CT_ELDER_SCALE,고룡갑,전투,3,,합성계,None,합성,0,None,0,self,,stat|defense.위|add|0.15 ; stat|defense.물리|add|0.1,,고룡갑
CT_ESCORT_FORM,동행진,전투,3,,합성계,None,합성,0,None,0,self,탐사|발견|gainMult|1.05,special|allyDefUp|0.1,,동행진
CT_SEAL_TIGHT,밀봉,전투,3,,합성계,None,합성,2,식,0.4,single,,special|sealSkill|1,,밀봉
CT_STONE_BODY,석신,전투,3,,합성계,None,합성,0,None,0,self,,stat|DEF|mult|1.2 ; stat|회피|add|-0.05,,석신
CT_HOT_SPRING,온천,전투,3,,합성계,None,합성,0,None,0,self,생활|회복|gainMult|1.2 ; 관계|호감도|gainMult|1.05,,,온천
CT_CAUSALITY,인과율,전투,3,,합성계,None,합성,0,None,0,self,,special|accUp|0.1 ; special|critUp|0.1,,인과율
CT_EMBER,잿불,전투,3,,합성계,None,합성,0,None,0,self,생활|회복|gainMult|1.15,special|regen|0.15,,잿불
CT_SPOTLIGHT,주목,전투,3,,합성계,None,합성,1,None,0,self,,special|taunt|0.5 ; special|aggroUp|0.5,,주목
CT_CLEANSE,청정,전투,3,,합성계,None,합성,1,식,0,single_ally,생활|회복|gainMult|1.1,special|cleanse|1,,청정
CT_ABUNDANCE,풍요,전투,3,,합성계,None,합성,0,None,0,self,생활|생산|gainMult|1.15 ; 생활|회복|gainMult|1.1,,,풍요
CT_DECIPHER,해석,전투,3,,합성계,None,합성,0,None,0,self,탐사|발견|gainMult|1.1,special|revealEnemy|1,,해석
BT_CRYSTAL_MAIL,결정반사갑,전투,3,,합성계,None,합성,0,None,0,self,,stat|defense.광|add|0.15 ; special|reflect|0.2,,결정반사갑
CT_AMBUSHER,복병,전투,3,,합성계,None,합성,0,None,0,self,,special|firstStrike|0.3,,복병
CT_SLEEP_BLOOMER,슬립 블루머,전투,2,,합성계,None,합성,0,None,0,self,,special|enemySpdDown|0.15,,2층 효과 대기 — 체인 정본=synthesis_chains.csv
CT_COUNTER_SHELL,카운터 쉘,전투,2,,합성계,None,합성,0,None,0,self,,stat|defense.광|add|0.1 ; special|reflect|0.15,,2층 효과 대기 — 체인 정본=synthesis_chains.csv
CT_TRAPPER,함정술사,전투,3,,합성계,None,합성,1,광,0.6,single,탐사|발견|gainMult|1.1,special|enemySpdDown|0.2,,함정술사
CT_POISON_SPEAR,독창,전투,3,,합성계,식,합성,1,식,1.1,single,,special|dot독|0.15,,물리와 식이 한 창끝에 — 찌르기에 독이 흐른다.
CT_AMBUSH_COMBO,기습연참,전투,3,,합성계,광,합성,2,광,1.3,single,,special|firstStrike|0.3 ; special|extraHitOnFirst|1,,선제에 성공하면 연달아 벤다.
CT_PURE_DISSOLVE,순수용해,전투,3,,합성계,열,합성,2,열,1.0,single,,special|defShred|0.15 ; special|dispel|1,,버프도 방어도 함께 녹인다.
CT_BERSERKER,광전사,전투,3,,합성계,None,합성,0,None,0,self,,stat|ATK|mult|1.25 ; override|always|방어:0,,두려움 없는 호전성이 광기로 — 공격만 남는다.
CT_INDOMITABLE,불굴,전투,3,,합성계,None,합성,0,None,0,self,,stat|DEF|mult|2.0|when:hpPct:<=:0.3,,HP가 바닥일수록 단단해진다.
CT_FULL_ANALYSIS,완전분석,전투,3,,합성계,None,합성,0,None,0,self,,special|revealEnemy|1 ; special|critUp|0.25,,적의 전부를 읽고 약점을 벤다. (구 T4→재티어)
