; ═ 트레잇 합성 레시피 v2 (2026-07-17 전면 재생성 — 구 TSYN 30 은퇴) ═
SYN_0038,군림,PT_MAJESTY;PT_NOBLE,PT_REIGN,성격,4,—,체인
SYN_0039,요설,PT_CRAFTY;PT_SEDUCTIVE,PT_SILVER_TONGUE,성격,3,—,체인
SYN_0040,매혹술,PT_LITTLE_DEVIL;PT_SILVER_TONGUE,CT_FASCINATION,전투,4,—,체인
SYN_0041,신의,PT_LOYAL;PT_LOYAL_FAITHFUL,PT_FAITH,성격,3,—,체인
SYN_0042,충의,PT_DEVOTED;PT_FAITH,PT_LOYALTY,성격,4,—,체인
SYN_0043,감란,AT_FICKLE_SENSITIVITY;AT_SENSORY_CONFUSION,AT_SENSE_CHAOS,성인,3,—,체인
SYN_0044,감각폭풍,AT_HYPERSENSITIVITY;AT_SENSE_CHAOS,AT_SENSE_STORM,성인,4,—,체인
SYN_0045,둔마,AT_ANESTHETIC_SENSITIVITY;AT_POISON_SENSITIVITY,AT_NUMB_HAZE,성인,3,—,체인
SYN_0046,마비독체질,AT_NUMB_CONSTITUTION;AT_NUMB_HAZE,AT_PARALYTIC_BODY,성인,4,—,체인
SYN_0047,여왕기질,AT_SADIST;PT_DOMINEERING,AT_QUEEN_NATURE,성인,3,—,체인
SYN_0048,여왕,AT_QUEEN_NATURE;PT_ARROGANT,AT_QUEEN,성인,4,—,체인
SYN_0049,생체갑주,BT_COMBAT_BODY;CT_LIGHT_ARMOR,BT_BIO_ARMOR,신체,3,—,체인
SYN_0050,각린,BT_BIO_ARMOR;BT_RESILIENT,BT_HORN_SCALE,신체,4,—,체인
SYN_0051,점액변성,BT_FLEXIBLE;BT_SLIME_BODY,AT_SLIME_SHIFT,성인,3,—,체인
SYN_0052,감로체질,AT_HYPERSENSITIVITY;AT_SLIME_SHIFT,AT_NECTAR_BODY,성인,4,—,체인
SYN_0053,탐사광,BT_EXPLORATION_BODY;PT_CURIOUS,BT_EXPLORE_MANIA,신체,3,—,체인
SYN_0054,야행,BT_EXPLORE_MANIA;PT_WILDNESS,BT_NOCTURNAL,신체,4,—,체인
SYN_0055,재생피부,BT_FLEXIBLE;BT_RECOVER_FAST,BT_REGEN_SKIN,신체,3,—,체인
SYN_0056,탈피,BT_REGEN_SKIN;BT_RESILIENT,BT_MOLTING,신체,4,—,체인
SYN_0057,해맑음,BT_GOLDBODY;PT_OPTIMIST,PT_SUNNY,성격,3,—,체인
SYN_0058,달뜸,BT_SILVERBODY;PT_MOODY,PT_MOONSTRUCK,성격,3,—,체인
SYN_0059,화끈,BT_IRONFLESH;PT_COMBATIVE,PT_FIERY,성격,3,—,체인
SYN_0060,금슬,BT_REDCOPPER;PT_SELF_LOVE,PT_AMOROUS,성격,3,—,체인
SYN_0061,수더분,BT_CINNABAR;PT_EMBRACE,PT_EASYGOING,성격,3,—,체인
SYN_0062,목가,BT_TINBODY;PT_EMBRACE,PT_PASTORAL,성격,3,—,체인
SYN_0063,토박이,BT_LEADGUARD;PT_STUBBORN,PT_ROOTED,성격,3,—,체인
SYN_0064,명랑,BT_RECOVER_FAST;PT_AIRHEAD,PT_CHEERFUL,성격,3,—,체인
SYN_0065,음울,BT_RECOVER_SLOW;PT_RESIGNED,PT_GLOOMY,성격,3,—,체인
SYN_0066,프라이드높음,PT_ARROGANT;PT_VANITY,PT_PRIDE_HIGH,성격,3,—,체인
SYN_0067,프라이드낮음,PT_SELF_DOUBT;PT_TIMID_SOCIAL,PT_PRIDE_LOW,성격,3,—,체인
SYN_0068,억압,AT_SHAME_EXCESS;PT_DUTY,PT_REPRESSED,성격,3,—,체인
SYN_0069,해방,AT_HYPERSENSITIVITY;PT_WILDNESS,PT_LIBERATED,성격,3,—,체인
SYN_0070,의연,BT_RESILIENT;PT_STEADFAST,PT_HARDY_MIND,성격,3,—,체인
SYN_0071,엄살,PT_DEPENDENT;PT_SHY,PT_WHINY,성격,3,—,체인
SYN_0072,철골,BT_IRONFLESH;BT_RESILIENT,BT_IRON_FRAME,신체,3,—,체인
SYN_0073,강완,BT_COMBAT_BODY;BT_IRON_FRAME,BT_STEEL_ARM,신체,4,—,체인
SYN_0074,야조,BT_HORN;PT_WILDNESS,BT_WILD_CLAW,신체,3,—,체인
SYN_0075,첨조,BT_IRONFLESH;BT_WILD_CLAW,BT_SHARP_CLAW,신체,4,—,체인
SYN_0076,갑각,BT_CRYSTAL_BODY;BT_RIGID,BT_CARAPACE,신체,3,—,체인
SYN_0077,외각,BT_CARAPACE;BT_LEADGUARD,BT_OUTER_SHELL,신체,4,—,체인
SYN_0078,지맥감지,BT_GUARD_AFFINITY;BT_RECORDER,BT_GEO_SENSE,신체,4,—,체인
SYN_0079,야장체질,BT_FLAME_SMITH;BT_IRONFLESH,BT_SMITH_BODY,신체,4,—,체인
SYN_0080,녹수,AT_WET_EASY;BT_CATALYST_BODY,BT_GREEN_HAND,신체,4,—,체인
SYN_0081,재생핵,BT_RECOVER_FAST;BT_SLIME_SPAWN,BT_REGEN_CORE,신체,4,—,체인
SYN_0082,밀선,AT_WET_EASY;BT_HERB_AFFINITY,AT_HONEY_GLAND,성인,3,—,체인
SYN_0083,화밀체질,AT_HONEY_GLAND;AT_HYPERSENSITIVITY,AT_FLOWER_NECTAR,성인,4,—,체인
SYN_0084,통감,BT_REDCOPPER;PT_SENSITIVE,AT_SYNC_SENSE,성인,3,—,체인
SYN_0085,감응체질,AT_HYPERSENSITIVITY;AT_SYNC_SENSE,AT_RESONANT_BODY,성인,4,—,체인
SYN_0086,수더분,PT_EMBRACE;PT_ENLIGHTENED,PT_EASYGOING,성격,3,—,체인
SYN_0087,음울,PT_RESIGNED;PT_SILENT,PT_GLOOMY,성격,3,—,체인
SYN_0088,백야,CT_DIFFUSE_REFLECT;CT_MOONLIGHT_DISSOLVE,CT_WHITE_NIGHT,전투,4,—,체인
SYN_0089,부식운,CT_CORROSION_FIELD;CT_EROSION_BITE,CT_CORROSION_CLOUD,전투,3,—,체인
SYN_0090,구속망,CT_BINDING;CT_EROSION_THREAD,CT_BIND_NET,전투,3,—,체인
SYN_0091,열광,AT_HEAT_RUSH;CT_HEAT_WALL,CT_HEAT_FRENZY,전투,3,—,체인
SYN_0092,결정반사갑,CT_COUNTER_SHELL;CT_REFLECT,BT_CRYSTAL_MAIL,신체,3,—,체인
SYN_0093,부식 방벽,AT_ACID_MUCOSA;BT_SLIME_BODY,BT_CORRODE_WALL,신체,3,—,체인
SYN_0094,함정술사,CT_POISON_MIST;CT_SLEEP_BLOOMER,CT_TRAPPER,전투,3,—,체인
SYN_0095,전신감대,AT_DOCILE_ACROBAT;BT_FLEXIBLE,AT_FULLBODY_ZONE,성인,3,—,체인
SYN_0096,점액변성,AT_MELT_FUSION;BT_FLEXIBLE,AT_SLIME_SHIFT,성인,3,—,체인
SYN_0097,둔마,AT_ANESTHETIC_SENSITIVITY;AT_TOUGH_TRAIN,AT_NUMB_HAZE,성인,3,—,체인
SYN_0098,감각차폐,AT_ASCETIC_INTAKE;AT_DENIAL,AT_SENSE_SHIELD,성인,4,—,체인
SYN_0099,인형화,AT_HONEST_PLEASURE;PT_DOCILE,PT_DOLLIFY,성격,3,—,체인
SYN_0100,순백인형,AT_PLASTICITY;PT_DOLLIFY,PT_PURE_DOLL,성격,4,—,체인
SYN_0101,난사광,PT_COMBATIVE;PT_EMOTIONAL_BURST,CT_SPRAY_MANIA,전투,2,—,체인
SYN_0102,자극무기,AT_HYPERSENSITIVITY;CT_GALE,AT_STIM_WEAPON,성인,3,—,체인
SYN_0103,자극무기,AT_DRUG_NEEDLE;AT_STIM_WEAPON,AT_STIM_WEAPON,성인,3,—,체인
SYN_0104,트리거 해피,AT_STIM_WEAPON;CT_SPRAY_MANIA,CT_TRIGGER_HAPPY,전투,4,—,체인
SYN_0105,청정,CT_NATURAL_HEAL;CT_PURIFY,CT_CLEANSE,전투,3,—,체인
SYN_0106,풍요,CT_EARTH_BLESSING;CT_SYMBIOSIS,CT_ABUNDANCE,전투,3,—,체인
SYN_0107,주목,CT_ROAR;CT_TAUNT,CT_SPOTLIGHT,전투,3,—,체인
SYN_0108,밀봉,CT_PRESERVE;CT_SEAL_BIND,CT_SEAL_TIGHT,전투,3,—,체인
SYN_0109,영역부식,CT_SCALES;CT_TERRITORY_CONTROL,CT_AREA_CORROSION,전투,3,—,체인
SYN_0110,인과율,CT_CAUSAL_THREAD;CT_FATE_EDIT,CT_CAUSALITY,전투,3,—,체인
SYN_0111,해석,CT_DECODE;CT_DISMANTLE,CT_DECIPHER,전투,3,—,체인
SYN_0112,난반사,CT_FORM_INSTABILITY;CT_REFLECT,CT_DIFFUSE_REFLECT,전투,3,—,체인
SYN_0113,온천,CT_CURRENT;CT_FRAGRANCE,CT_HOT_SPRING,전투,3,—,체인
SYN_0114,정광,CT_FOCUSED_LIGHT;CT_PRECISION_ALCHEMY,CT_PURE_LIGHT,전투,3,—,체인
SYN_0115,석신,CT_DUAL_BODY;CT_PETRIFY,CT_STONE_BODY,전투,3,—,체인
SYN_0116,임계폭발,CT_MANA_AMPLIFY;CT_OVERLOAD,CT_CRITICAL_BURST,전투,3,—,체인
SYN_0117,고룡갑,CT_DRAGON_SCALE;CT_FOSSIL_ARMOR,CT_ELDER_SCALE,전투,3,—,체인
SYN_0118,경정,CT_CRYSTALLIZE;CT_HARDEN,CT_HARD_CRYSTAL,전투,3,—,체인
SYN_0119,동행진,CT_SYMBIOSIS;CT_TRACKER,CT_ESCORT_FORM,전투,3,—,체인
SYN_0120,잿불,CT_ASH_RESIDUE;CT_NATURAL_HEAL,CT_EMBER,전투,3,—,체인
SYN_0121,침착,PT_CAUTIOUS;PT_SELF_RESTRAINT,PT_COMPOSURE,성격,3,—,체인
SYN_0122,무념,PT_APATHETIC;PT_INDIFFERENT,PT_NO_THOUGHT,성격,3,—,체인
SYN_0123,오기,PT_RESISTANT;PT_TENACITY,PT_GRIT,성격,3,—,체인
SYN_0124,억압,PT_DUTY;PT_NO_OVERSTEP,PT_REPRESSED,성격,3,—,체인
SYN_0125,과시욕,PT_ATTENTION;PT_CHILDISH,PT_SHOWOFF,성격,3,—,체인
SYN_0126,가면,PT_EXPRESSIONLESS;PT_MIMIC,PT_PERSONA,성격,3,—,체인
SYN_0127,수집광,PT_HOARDER;PT_MANIACAL_RESEARCH,PT_COLLECT_MANIA,성격,3,—,체인
SYN_0128,학자기질,PT_INQUISITIVE;PT_SCHOLARLY,PT_SCHOLAR,성격,3,—,체인
SYN_0129,비가,PT_ARTISTIC;PT_RUEFUL,PT_ELEGY,성격,3,—,체인
SYN_0130,규율,PT_PUNCTUAL;PT_TIDY,PT_DISCIPLINE,성격,3,—,체인
SYN_0131,금욕,PT_APATHETIC;PT_DIET,PT_ABSTINENCE,성격,3,—,체인
SYN_0132,동결심,PT_DETACHED;PT_EMOTIONLESS_SURFACE,PT_FROZEN_HEART,성격,3,—,체인
SYN_0133,은자,PT_ALOOF;PT_TRANSCENDENT,PT_HERMIT,성격,3,—,체인
SYN_0134,달뜸,PT_MOODY;PT_UNFATHOMABLE,PT_MOONSTRUCK,성격,3,—,체인
SYN_0135,간호,CT_SOOTHE;PT_SELF_SACRIFICE,CT_NURSING,전투,3,—,체인
SYN_0136,각인독점,AT_OBSESSIVE_BOND;PT_OBSESSIVE,AT_MARK_MONO,성인,3,—,체인
SYN_0137,가학성,AT_PERVERSE;PT_SADISTIC,AT_SADISTIC_STREAK,성인,3,—,체인
SYN_0138,약탐,AT_APHRO_ADDICT;BT_ADDICT_EASY,AT_DRUG_CRAVE,성인,3,—,체인
SYN_0139,자열,AT_EASY_MASTURB;AT_HEAT_CYCLE,AT_SELF_PLEASURE,성인,3,—,체인
SYN_0140,결벽감각,AT_SEMEN_TASTE;AT_SHAVEN,AT_PURITY_TASTE,성인,3,—,체인
SYN_0141,향감,AT_SMELL_SENS;CT_FRAGRANCE,AT_SCENT_SENSE,성인,3,—,체인
SYN_0142,무취각,AT_FILTH_IGNORE;AT_SMELL_NUMB,AT_NO_SMELL,성인,3,—,체인
SYN_0143,감핵,BT_CLIT_TYPE;BT_NIPPLE_TYPE,AT_SENSE_CORE,성인,3,—,체인
SYN_0144,거한,BT_GIANT;BT_RESILIENT,BT_HULK,신체,3,—,체인
SYN_0145,모성체,BT_BIG_BUST;BT_LACTATING,BT_MOTHER_BODY,신체,3,—,체인
SYN_0146,혀끝감각,BT_CAT_TONGUE;BT_COOK_AFFINITY,BT_TONGUE_SENSE,신체,3,—,체인
SYN_0147,정화체질,BT_ADDICT_HARD;CT_PURIFY,BT_PURIFY_BODY,신체,3,—,체인
SYN_0148,어부,BT_FISH_AFFINITY;BT_SWIM_AFFINITY,BT_FISHER,신체,3,—,체인
SYN_0149,자동인형,BT_DOLL;BT_MACHINE,BT_AUTOMATON,신체,3,—,체인
SYN_0150,마족혈통,BT_DEMON;BT_VAMPIRE,BT_DEMON_LINEAGE,신체,3,—,체인
SYN_0151,유령신체,BT_SPIRIT_BODY;CT_MIST_FIELD,BT_GHOST_BODY,신체,3,—,체인
SYN_0152,해부학,CT_DISASSEMBLE_ANALYZE;PT_WEAK_POINT,CT_ANATOMY,전투,3,—,체인
SYN_0153,풍만,BT_BIG_HIPS;BT_GIANT,BT_VOLUPTUOUS,신체,3,—,체인
SYN_0154,초소형,BT_DWARF;BT_PETITE,BT_TINY_BODY,신체,3,—,체인
SYN_0155,무저항,PT_INSTANT_FALL;PT_PASSIVE,AT_NO_RESIST,성인,3,—,체인
SYN_0156,약점감지,PT_OBSERVANT;PT_WEAK_POINT,CT_WEAK_POINT_DETECT,전투,2,—,체인
SYN_0157,양면봉사,AT_SADO_REFLUX;AT_UNCOND_SERVICE,AT_DUAL_SERVICE,성인,2,—,체인
SYN_0158,연구조교,AT_GRADUAL_EROSION;AT_OBSERVER_EFFECT,AT_STUDY_TRAIN,성인,2,—,체인
SYN_0159,태엽조교,AT_DOLL_RECORD;AT_HIBERNATE_TRAIN,AT_CLOCKWORK_TRAIN,성인,2,—,체인
SYN_0160,광역제압,CT_JUDGE;CT_TOXIN_SCATTER,CT_AREA_SUPPRESS,전투,2,—,체인
SYN_0161,기습약탈,CT_SWINDLER;CT_TAIL_AMBUSH,CT_RAID_STRIKE,전투,2,—,체인
SYN_0162,역위,AT_DUAL_SERVICE;AT_SADIST,AT_ROLE_REVERSE,성인,3,—,체인
SYN_0163,해부조교,AT_DISSECTION_SENSITIVITY;AT_STUDY_TRAIN,AT_DISSECT_TRAIN,성인,3,—,체인
SYN_0164,몽환조교,AT_CLOCKWORK_TRAIN;AT_NUMB_CONSTITUTION,AT_DREAM_TRAIN,성인,3,—,체인
SYN_0165,함정술사,CT_AREA_SUPPRESS;PT_CRAFTY,CT_TRAPPER,전투,3,—,체인
SYN_0166,복병,CT_CAMOUFLAGE;CT_RAID_STRIKE,CT_AMBUSHER,전투,3,—,체인
SYN_0167,동결심,PT_EMOTIONLESS_SURFACE;PT_STILL_ROT,PT_FROZEN_HEART,성격,3,—,체인
SYN_0168,생체갑주,BT_PRESSURE_PROOF;CT_LIGHT_ARMOR,BT_BIO_ARMOR,신체,3,—,체인
SYN_0169,결정반사갑,BT_CRYSTAL_BODY;BT_MIRROR_SCALE,BT_CRYSTAL_MAIL,신체,3,—,체인
SYN_0170,박리사,BT_FINE_CRAFT;PT_CLEAN_FREAK,BT_PEELER,신체,3,—,체인
SYN_0171,무영,BT_COVERT_SKILL;CT_MIST_FIELD,CT_SHADOWLESS,전투,3,—,체인
SYN_0172,변이적응,CT_CAMOUFLAGE;PT_AMORPH_HEART,BT_MUTATE_ADAPT,신체,3,—,체인
SYN_0173,규율,PT_GROOMING;PT_TIDY,PT_DISCIPLINE,성격,3,—,체인
SYN_0174,열광,AT_HEAT_RUSH;AT_HEAT_SIGN,CT_HEAT_FRENZY,전투,3,—,체인
SYN_0175,공명,AT_CRYSTAL_ECHO;CT_ECHO,CT_RESONANCE,전투,3,—,체인
SYN_0176,탐사광,PT_CURIOUS;PT_EXPLORE_BOND,BT_EXPLORE_MANIA,신체,3,—,체인
SYN_0177,점액변성,AT_ADDICTIVE_SKIN;BT_SLIME_BODY,AT_SLIME_SHIFT,성인,3,—,체인
SYN_0178,각인독점,PT_OBEY_ANTENNA;PT_OBSESSIVE,AT_MARK_MONO,성인,3,—,체인
SYN_0179,촉매체질,BT_HERB_AFFINITY;BT_SPRING_SPIRIT,BT_CATALYST_BODY,신체,3,—,체인
SYN_0180,과민소체,AT_SMALL_HOLE;BT_SMALL_FRAME,AT_SENSITIVE_PETITE,성인,3,—,체인
SYN_0181,통감,AT_SYNESTHESIA;PT_SENSITIVE,AT_SYNC_SENSE,성인,3,—,체인
SYN_0182,신의,PT_LOYAL_FAITHFUL;PT_LOYAL_SWAY,PT_FAITH,성격,3,—,체인
SYN_0183,적사자,CT_KARMIC_FLAME;PT_LIONHEART,CT_RED_LION,전투,3,—,체인
SYN_0184,쌍두감시,BT_TWO_HEADS;PT_DOUBLE_GAZE,CT_TWIN_WATCH,전투,3,—,체인
SYN_0185,활공,CT_SKY_EYE;CT_UPDRAFT,CT_GLIDE,전투,3,—,체인
SYN_0186,자박,BT_WING_WEIGHT;PT_SELF_RESTRAINT,PT_SELF_BIND,성격,3,—,체인
SYN_0187,눈치싸움,PT_DAWN_CRY;PT_FOX_WIT,PT_WIT_DUEL,성격,3,—,체인
SYN_0188,봉군,BT_HONEY_GLAND2;PT_SWARM_INSTINCT,BT_BEE_SWARM,신체,3,—,체인
SYN_0189,일각수,BT_SINGLE_HORN;PT_PURITY_SENSE,BT_UNICORN_NATURE,신체,3,—,체인
SYN_0190,용혈,BT_DRAGON_WING;BT_EARTH_DRAGON_SCALE,BT_DRAGON_VEIN,신체,3,—,체인
SYN_0191,독안,BT_EVIL_EYE;BT_VENOM_GLAND,CT_VENOM_EYE,전투,3,—,체인
SYN_0192,고정탈피,AT_ENDURE_TOXIN;BT_MOLT_SOUL,BT_FIXED_MOLT,신체,3,—,체인
SYN_0193,비밀비늘,BT_SERPENT_LOWER;PT_SECRETIVE,BT_SECRET_SCALE,신체,3,—,체인
SYN_0194,세이렌송,BT_CHARM_VOICE;CT_WATER_SONG,CT_SIREN_SONG,전투,3,—,체인
SYN_0195,수체,BT_FLUID_ADAPT;BT_WEBBED,BT_WATER_BODY,신체,3,—,체인
SYN_0196,절규,BT_ROOTING;CT_SCREAM,CT_SHRIEK,전투,3,—,체인
SYN_0197,복명체,BT_EARTH_BODY;PT_BROW_LETTER,PT_OBEDIENT_VESSEL,성격,3,—,체인
SYN_0198,야금계,BT_BLACK_FEATHER;BT_GOLD_EGG,BT_NIGHT_GOLD_HEN,신체,3,—,체인
SYN_0199,달전령,BT_WHITE_FEATHER;PT_GENTLE_FLIGHT,PT_MOON_HERALD,성격,3,—,체인
SYN_0200,요설,PT_CRAFTY;PT_GOLD_LURE,PT_SILVER_TONGUE,성격,3,—,체인
SYN_0201,약탐,AT_APHRO_ADDICT;BT_TIPSY_BODY,AT_DRUG_CRAVE,성인,3,—,체인
SYN_0202,재생피부,BT_REBIRTH_SEED;BT_RECOVER_FAST,BT_REGEN_SKIN,신체,3,—,체인
SYN_0203,변이적응,BT_MIXED_BLOOD;CT_CAMOUFLAGE,BT_MUTATE_ADAPT,신체,3,—,체인
SYN_0204,자기희생,CT_SELF_REPAIR;PT_DEVOTED,PT_SELF_SACRIFICE,성격,3,—,교차
SYN_0205,변이적응,CT_CAMOUFLAGE;PT_CAPRICE,BT_MUTATE_ADAPT,신체,3,—,교차
SYN_0206,함정술사,CT_PARALYSIS_POISON;PT_CRAFTY,CT_TRAPPER,전투,3,—,교차
SYN_0207,박리사,CT_PRECISION_INCISION;PT_CLEAN_FREAK,BT_PEELER,신체,3,—,교차
SYN_0208,역위,AT_SADIST;PT_DOMINATION,AT_ROLE_REVERSE,성인,3,—,교차
SYN_0209,순백인형,AT_PLASTICITY;PT_DOCILE,PT_PURE_DOLL,성격,4,—,교차
SYN_0210,각인독점,AT_OBSESSIVE_BOND;PT_POSSESSIVE,AT_MARK_MONO,성인,3,—,교차
SYN_0211,마약침,AT_DRUG_SENSITIVITY;CT_VENOM_STING,AT_DRUG_NEEDLE,성인,2,—,교차
SYN_0212,몽환조교,AT_NUMB_CONSTITUTION;CT_SLEEP_TOXIN,AT_DREAM_TRAIN,성인,3,—,교차
SYN_0213,해부조교,AT_DISSECTION_SENSITIVITY;CT_PRECISION_INCISION,AT_DISSECT_TRAIN,성인,3,—,교차
SYN_0214,발정폭주,AT_HEAT_CYCLE;CT_OVERLOAD,AT_HEAT_RUSH,성인,2,—,교차
SYN_0215,금욕적 섭취,AT_DENIAL;CT_ABSORB,AT_ASCETIC_INTAKE,성인,3,—,교차
SYN_0216,열광,AT_HEAT_CYCLE;CT_HEAT_WALL,CT_HEAT_FRENZY,전투,3,—,교차
SYN_0217,복병,AT_DEFENSELESS;CT_CAMOUFLAGE,CT_AMBUSHER,전투,3,—,교차
SYN_0218,카운터 쉘,AT_DRUG_RESISTANCE;CT_CRYSTAL_BARRIER,CT_COUNTER_SHELL,전투,2,—,교차
SYN_0219,산성점막,AT_WET_EASY;CT_CORROSION_FIELD,AT_ACID_MUCOSA,성인,2,—,교차
SYN_0220,결정반사갑,BT_CRYSTAL_BODY;CT_REFLECT,BT_CRYSTAL_MAIL,신체,3,—,교차
SYN_0221,부식 방벽,BT_SLIME_BODY;CT_DISSOLVE_FLUID,BT_CORRODE_WALL,신체,3,—,교차
SYN_0222,슬립 블루머,BT_FRAGILE;CT_SLEEP_TOXIN,CT_SLEEP_BLOOMER,전투,2,—,교차
SYN_0223,화염 단조사,BT_FORGE_AFFINITY;CT_KARMIC_FLAME,BT_FLAME_SMITH,신체,3,—,교차
SYN_0224,기록가,BT_EXPLORATION_BODY;PT_OBSERVANT,BT_RECORDER,신체,3,—,교차
SYN_0225,순종적 곡예,BT_FLEXIBLE;PT_DOCILE,AT_DOCILE_ACROBAT,성인,2,—,교차
SYN_0226,전신감대,AT_HYPERSENSITIVITY;BT_FLEXIBLE,AT_FULLBODY_ZONE,성인,3,—,교차
SYN_0227,용해융합,AT_DISSOLVING_BODY;BT_FLEXIBLE,AT_MELT_FUSION,성인,2,—,교차
SYN_0228,내구조교체,AT_MASOCHIST;BT_RESILIENT,AT_TOUGH_TRAIN,성인,2,—,교차
SYN_0229,과민소체,AT_WET_EASY;BT_SMALL_FRAME,AT_SENSITIVE_PETITE,성인,3,—,교차
SYN_0230,촉매체질,AT_LACTATION;BT_HERB_AFFINITY,BT_CATALYST_BODY,신체,1,—,교차
SYN_0231,점액 산란,AT_HEAT_CYCLE;BT_SLIME_BODY,BT_SLIME_SPAWN,신체,3,—,교차
SYN_0232,독창,CT_PIERCE;CT_VENOM_STING,CT_POISON_SPEAR,전투,3,—,레거시
SYN_0233,기습연참,CT_AMBUSH;CT_FLASH_SLASH,CT_AMBUSH_COMBO,전투,3,—,레거시
